臺灣版題號,官方中文題目
PA003Q18WA,幫助孩子做科學家庭作業
PA003Q19WA,為孩子取得科學相關教材（例如應用程式、軟體、學習指南等）
PA003Q20WA,與孩子討論科學可以如何應用在日常生活中
PA003Q21JA,與孩子討論科學相關職業的選項
PA007Q03TA,我很滿意學校教授的內容
PA007Q21NA,學校善用數位資源來支援學生的學習
PA007Q22NA,學校善用數位資源來與家長或監護人溝通
PA008Q11NA,與學生和／或老師分享我個人的知識
PA035Q08,接觸到會從其他動物傳染給人類的疾病
PA175Q05HA,科學額外的加強教學
PA175Q06HA,科學學習扶助課程
PA196Q02WA,雇主通常賞識那些具備良好的科學知識和技能的員工
PA196Q04WA,具備良好的科學知識和技能在就業市場上是一項優點
PA197Q01WA,您家中是否有人（包括您）從事科學相關職業的工作？
PA197Q02WA,您的孩子是否展現出有興趣從事科學相關職業的工作？
PA197Q03WA,您是否期望孩子將會從事科學相關職業？
PA197Q04WA,您的孩子是否展現有興趣在完成高中（職）學業後學習科學？
PA197Q05WA,您是否期望孩子在完成高中（職）學業後學習科學？
SC001Q01JA,人口超過 10000000 人的巨型城市
SC002Q01TA,男生人數：__________________
SC002Q02TA,女生人數：__________________8SC211 貴校大約有多少百分比的高一（或國三）學生具有下列特質？（請注意，學生可能同時屬於多個類別。）（請移動滑桿至適當的百分比。）
SC004Q01TA,貴校高一（或國三）學生的總人數為何？__________________
SC004Q02TA,貴校可供這些學生用於學習的桌機或筆電約有多少台？__________________
SC004Q03TA,貴校上述這些桌機或筆電中大約有多少台連線到網際網路？__________________
SC004Q07NA,在貴校裡大約有幾台有網路連線的桌機或筆電可以供教師使用？__________________26SC261 在本學年，貴校所有的數位裝置中有多少百分比能夠使用以下軟體？（請考慮各種不同的數位裝置，例如：桌上型電腦、筆記型電腦和平板電腦。）沒有 1-25% 26-50% 51-75% 76-100%
SC004Q08DA,大約有多少個平板裝置（例如：iPad®、Galaxy Book®、Fire®）可供這些學生學習之用？__________________
SC004Q09DA,大約有多少個電子書閱讀器（即在螢幕上閱讀書籍的攜帶式裝置，例如：Kobo、mooInk）可供這些學生學習之用？__________________
SC016Q01TA,政府（包含地方和中央部門） ______
SC016Q02TA,家長或監護人所支付的學費或雜費 ______
SC016Q03TA,捐助、贊助、贈與、以及家長或監護人籌募的基金 ______
SC016Q04TA,其他 ______總數 100%6我們想了解家長或監護人為其子女選擇學校時有哪些選擇。SC011 下列哪個敘述最符合貴校所在地區可提供給學生的就學機會？
SC018Q01TA,教師總數 ______ ______
SC018Q02TA,教育部認可合格的教師 ______ ______
SC018Q08JA,有學士學位或同等學歷學歷的教師 ______ ______
SC018Q09JA,有碩士學位或同等學歷學歷的教師 ______ ______
SC018Q10JA,有博士學位或同等學歷學歷的教師 ______ ______10SC400 貴校有多少位下列自然科學教職員？包括全職和兼職教師，全職教師是指全學年至少有 90% 時間聘任為教師，其他教師應視為兼職。請只計算在本學年教授或將會教授自然科學的教師。（請在每一個填答處填寫一個數字。如果沒有，請填寫「0」（零）。）全職兼職
SC035Q01NA,引導學生學習
SC035Q02TA,向家長或監護人報告孩子的學習進展
SC035Q03TA,決定學生留級或升級
SC035Q04TA,為了教學目的，把學生編班分組
SC035Q05TA,將學校成績與地區或全國的成績作比較
SC035Q06TA,監控學校成績逐年的進展
SC035Q07TA,評估教師的教學效能
SC035Q08TA,找出教學或課程設計上可以改善之處
SC035Q09NA,調整教學以符合學生需要
SC035Q10TA,與其他學校作比較
SC035Q11NA,向學生頒發證書
SC053Q11TA,演講和／或研討會（例如：邀請作家或記者到校演講）
SC064Q01TA,家長或監護人主動與老師討論他們孩子的學習進度
SC064Q02TA,孩子的老師主動與家長討論他們孩子的學習進度
SC064Q03TA,參加校內管理組織（例如︰家長會或學校管理委員會）
SC064Q04NA,自願參加體力勞動或課外活動（例如︰建物修繕、木工、園藝、學校表演、運動會、戶外教學）
SC064Q05WA,家長或監護人主動與老師討論他們孩子的行為
SC064Q06WA,老師主動與家長討論他們孩子的行為
SC064Q07WA,協助學校募款24SC192 在本學年，貴校教職員進行下列各項活動的頻率為何？（教職員包括教師、教學支援人員、學校行政人員和學校管理人員）從未或幾乎從未一年幾次一個月幾次每週 1 次或更多次
SC168Q01DA,教學支援人員，無論他們支援的年級／年齡為何請包括所有教學或支援教師教學的教師助理或其他非教學專業人士、課程／教學專家，以及教學媒體專家。__________________
SC168Q02JA,學校行政人員包括接待員、秘書和行政助理__________________
SC168Q03JA,學校管理人員包括校長、助理校長以及主要工作為管理的其他人員__________________SC168 整數13SC059 下列敘述是否適用於貴校的自然科學領域？是否
SC168Q05DA,關注學生身心健康的人員包括心理學家、護士和諮商師__________________
SC211Q02JA,有特殊學習需求的學生
SC211Q03JA,來自社經地位弱勢家庭的學生
SC211Q06JA,難民學生「特殊學習需求」學生是指經正式評估和鑑定，因身體、心智或情緒障礙（包括讀寫障礙和注意力不足及過動症）而有特殊學習需求的學生。他們通常會獲得額外的公共或私人資源（人力、物資或金錢）支援他們的教育。「社經地位弱勢家庭」意指那些缺乏基本生活必須品的家庭，例如足夠的居住空間、營養或醫療。「難民」是指無論其法律地位為何，因爲戰爭、政治壓迫、宗教迫害或天然災害而逃往他國尋求庇護的人。9SC018 貴校在下列各項的教師人數為何？包括全職和兼職教師，全職教師是指全學年至少有 90% 時間聘任為教師，其他教師應視為兼職。關於學歷程度，請只考慮教師最高學歷。（請在每一個填答處填寫一個數字。如果沒有，請填寫「0」（零）。）全職兼職
SC400Q01DA,自然科學教師的總數 ______ ______
SC400Q02DA,女性自然科學教師 ______ ______
SC400Q03DA,教育部認可合格的自然科學教師 ______ ______
SC400Q04DA,有學士學位或同等學歷以上學歷的自然科學教師 ______ ______
SC400Q05DA,有學士學位或同等學歷以上學歷且主修科學的自然科學教師 ______ ______
SC400Q06DA,有教育學程的學士學位或同等學歷以上學歷的自然科學教師 ______ ______
SC400Q07DA,專科學校畢業但沒有學士學位或同等學歷的自然科學教師 ______ ______
SC400Q08DA,有相關領域專業背景（例如工程、研究）的自然科學教師 ______ ______11SC410 貴校大約有多少百分比的教師具有下列特質？（請注意，教師可能同時屬於多個類別。）沒有1% 至25%26% 至50%51% 至75%超過75%
ST001Q01TA,┌───────────────────┐│ Select ▼ │└───────────────────┘7 年級8 年級9 年級10 年級11 年級12 年級4ST003 你的生日是什麼時候？（請從下拉式選單中，選擇你的出生日期、月份、年度。）
ST003Q01TA,日┌───────────────────┐│ Select ▼ │└───────────────────┘Drop-down menu list:123456...
ST003Q02TA,月┌───────────────────┐│ Select ▼ │└───────────────────┘Drop-down menu list:1 月2 月3 月4 月5 月6 月...
ST003Q03TA,年┌───────────────────┐│ Select ▼ │└───────────────────┘Drop-down menu list:2007200820092010520116ST430 你的性別是？
ST059Q01TA,每週上國文的節數__________________
ST059Q02TA,每週上數學的節數__________________
ST059Q03TA,每週上科學（例如物理、化學、生物、地球科學）的節數__________________
ST059Q05DA,每週所有科目的總節數，包括上面未列出的科目__________________51ST071 本學年，除了學校規定的課表外，你每週大約額外花多少小時學習下列科目？這只包括你在學校學習且在正常上課時間外花額外時間學習的科目。學習可以是在學校、家裡或其他地方進行，並包括家教，但不包括家庭作業。（請輸入一個數字。如果你没有參加該科目的額外教學，請輸入「0」（零）。）
ST065Q01TA,______________________________________________________________________34ST097 下列情況有多常在你的自然科學課堂中發生？所有課堂大部分課堂一些課堂從未或幾乎從未
ST329Q01JA,______________________________________________________________________71ST533 你有志於在未來的職業中致力保護環境的程度為何？
ST408Q01DA,請輸入他的工作職稱。你的家長或監護人的主要工作內容是在做什麼？（例如：教中學生、協助餐廳廚師準備餐點、管理一組銷售人員）請用句子描述她／他在主要職業中，目前從事或曾經從事的工作內容
ST408Q02DA,______________________________________________________________________18ST413 你和你的家長或監護人分別在哪個國家出生？（請在每欄選擇一個答案）你家長或監護人 #1ST413AQ01DST413BQ01D臺灣
ST410Q01DA,國中畢業
ST410Q02DA,五專（不含最後兩年）
ST410Q03DA,高中或高職畢業
ST410Q05DA,專科學校畢業
ST410Q06DA,學士學位
ST410Q07DA,碩士學位
ST410Q08DA,博士學位
ST410Q09DA,家長或監護人不具備上述任何學歷
ST491Q01DA,請輸入他的工作職稱。你的家長或監護人 #1 的主要工作內容是在做什麼？（例如：教中學生、協助餐廳廚師準備餐點、管理一組銷售人員）請用簡單句子描述她／他於那份工作中要做些什麼事情
ST491Q02DA,______________________________________________________________________21ST492 以下問題涉及你家長或監護人 #2 的工作。（如果你的家長或監護人目前沒有工作，請寫下她／他最後一份主要職業。）你的家長或監護人 #2 的主要職業是什麼？（例如：學校老師、廚房助手、銷售經理）
ST492Q01DA,請輸入他的工作職稱。你的家長或監護人 #2 的主要工作內容是在做什麼？（例如：教中學生、協助餐廳廚師準備餐點、管理一組銷售人員）請用簡單句子描述她／他於那份工作中要做些什麼事情
ST492Q02DA,______________________________________________________________________22ST414 你和你的家長或監護人分別在哪裡出生？（請在每欄選擇一個答案）你家長或監護人 #1家長或監護人 #2ST414AQ01DST414BQ01DST414CQ01D臺灣
TC007Q01NA,在這所學校擔任教師的年數
TC007Q02NA,擔任教師的總年數
TC007Q03DA,擔任現代外語（英文除外）教師的總年數（包括以您自己的語言作為外語教授）
TC007Q04DA,擔任英文教師的總年數
TC007Q05DA,擔任高一（或國三）的英文教師的總年數9TC212 本學年，您是否教授下列教育階段？是否
TC045Q18DA,線上／遠距教學
TC216Q01JA,教學 ______
TC216Q02JA,在校內或校外進行個人的課堂規畫或備課 ______
TC216Q03JA,在這所學校內與同事進行團隊工作和對話 ______
TC216Q04JA,評分 / 批改學生作業 ______
TC216Q05JA,輔導學生（包括學生管理、指導、線上輔導、生涯輔導和行為指導） ______
TC216Q06JA,一般行政工作（包括溝通聯絡、文件工作和其他文書工作） ______
TC216Q07JA,與家長或監護人溝通和合作 ______
TC216Q08JA,參加課外活動（例如：放學後的體育和文化活動） ______12TC013 在完成高中（職）或以下的學業後，您的職涯目標是從事教育業嗎？
