代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
PA001Q01TA,PA001,,,,Who will complete this questionnaire?,,Mother or other female guardian,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA001Q02TA,PA001,,,,Who will complete this questionnaire?,,Father or other male guardian,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA001Q03TA,PA001,,,,Who will complete this questionnaire?,,Other,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q01TA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Watched TV programmes about science,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q02TA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Read books on scientific discoveries,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q03TA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,"Watched, read or listened to science fiction",非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q04TA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Visited web sites about science topics,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q05TA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Attended a science club,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q06NA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,"Construction play, e.g.<Lego bricks>",非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q07NA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Took apart technical devices,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q08NA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,"Fixed broken objects or items, e.g. broken electronic toys",非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q09NA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,"Experimented with a science kit, electronics kit, or chemistry set, used a microscope or telescope",非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q10NA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Played computer games with a science content,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q11DA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Observed animal behaviour (e.g. bird watching),非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q12DA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Participated in gardening activities,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA002Q13DA,PA002,,,,"Thinking back to when your child was about 10 years old, how often would your child have done these things?",,Visited a science museum,非常經常 | Regularly | 有時 | 從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Very often | Regularly | Sometimes | Never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
PA003Q04NA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Help my child with his/her science homework,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q06NA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,"Obtain science-related materials (e.g. applications, software, study guides etc.) for my child",從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q08NA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Discuss <science related career> options with my child,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q11JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Talk to my child about the importance of <completing ISCED 3>,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q12JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Talk to my child about any problems he/she may have at school,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q13JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Ask my child about how he/she is getting along with other students at school,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q14JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Encourage my child to get good <marks>,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
PA003Q15JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Take an interest in what my child is learning at school,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,從不或幾乎從不=9.39 | 大約一年一到兩次=9.35 | 大約一個月一到兩次=24.06 | 大約一週一到兩次=30.3 | 每天或幾乎每天=26.9,從不或幾乎從不=11.2 | 大約一年一到兩次=10.25 | 大約一個月一到兩次=20.6 | 大約一週一到兩次=27.37 | 每天或幾乎每天=30.58,Table I.B1.4.120
PA003Q16JA,PA003,家庭支持,Family support,,How often do you or someone else in your home do the following things with your child?,,Talk to my child about his/her future education,從不或幾乎從不 | Once or twice a year | Once or twice a month | Once or twice a week | 每天或幾乎每天,Never or hardly ever | Once or twice a year | Once or twice a month | Once or twice a week | Every day or almost every day,,,Table I.B1.4.120
