代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
TC002Q01NA,TC002,,,,How old are you?,,How old are you?,30 or below | 31 to 40 | 41 to 50 | Above 50,30 or below | 31 to 40 | 41 to 50 | Above 50,,,
TC007Q01NA_Q,TC007,,,,How many years of work experience do you have?,,How many years of work experience do you have?,Bottom international quartile - Median: 1 | Second international quartile - Median: 4 | Third international quartile - Median: 12 | Top international quartile - Median: 23 | not administered/not applicable | no response,Bottom international quartile - Median: 1 | Second international quartile - Median: 4 | Third international quartile - Median: 12 | Top international quartile - Median: 23 | not administered/not applicable | no response,,,
TC007Q02NA_Q,TC007,,,,How many years of work experience do you have?,,Year(s) working as a teacher in total,Bottom international quartile - Median: 5 | Second international quartile - Median: 13 | Third international quartile - Median: 20 | Top international quartile - Median: 30 | not administered/not applicable | no response,Bottom international quartile - Median: 5 | Second international quartile - Median: 13 | Third international quartile - Median: 20 | Top international quartile - Median: 30 | not administered/not applicable | no response,,,
TC007Q03DA_Q,TC007,,,,How many years of work experience do you have?,,Year(s) in total working as a teacher of <modern foreign languages¹> other than <English¹> (including teaching your own language as a foreign language),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
TC007Q04DA_Q,TC007,,,,How many years of work experience do you have?,,Year(s) in total working as an <English¹> teacher,Bottom international quartile - Median: 4 | Second international quartile - Median: 13 | Third international quartile - Median: 20 | Top international quartile - Median: 29 | not administered/not applicable | no response,Bottom international quartile - Median: 4 | Second international quartile - Median: 13 | Third international quartile - Median: 20 | Top international quartile - Median: 29 | not administered/not applicable | no response,,,
TC007Q05DA_Q,TC007,,,,How many years of work experience do you have?,,Year(s) in total working as an<English¹> teacher in <national modal grade for 15-year-olds>,Bottom international quartile - Median: 2 | Second international quartile - Median: 6 | Third international quartile - Median: 12 | Top international quartile - Median: 24 | not administered/not applicable | no response,Bottom international quartile - Median: 2 | Second international quartile - Median: 6 | Third international quartile - Median: 12 | Top international quartile - Median: 24 | not administered/not applicable | no response,,,
TC013Q01NA,TC013,,,,"After completing <ISCED level 3 or below>, was your goal to pursue a career in the teaching profession?",,"After completing <ISCED level 3 or below>, was your goal to pursue a career in the teaching profession?",是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC015Q01NA,TC015,,,,How did you receive your initial teaching qualifications?,,How did you receive your initial teaching qualifications?,I attended a standard teacher education or training programme at a <educational institute which is eligible to educate o | I attended an in-service teacher education or training programme | I attended a work-based teacher education or training programme | I attended training in another pedagogical profession | Other,I attended a standard teacher education or training programme at a <educational institute which is eligible to educate o | I attended an in-service teacher education or training programme | I attended a work-based teacher education or training programme | I attended training in another pedagogical profession | Other,,,
TC018Q01NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,"Reading, writing and literature",Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q01NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,"Reading, writing and literature",I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q02NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Mathematics,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q02NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Mathematics,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q03NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Science,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q03NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Science,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q04NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Technology,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q04NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Technology,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q05NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Social studies,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q05NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Social studies,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q06NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Modern foreign languages,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q06NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Modern foreign languages,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q07NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Ancient languages (e.g. Latin),Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q07NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Ancient languages (e.g. Latin),I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q08NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Arts,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q08NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Arts,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q09NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Physical education,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q09NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Physical education,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q10NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Religion and/or ethics,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q10NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Religion and/or ethics,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q11NA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,Practical and vocational skills,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q11NB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,Practical and vocational skills,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q12DA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,<Environmental Science/ Education for Sustainability>,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q12DB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,<Environmental Science/ Education for Sustainability>,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q13DA,TC018,,,,Included in my teacher education or training programme or other professional qualification,,"<Combined class of subjects such as Science, Technology, Engineering and Maths >",Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Included in my teacher education or training programme or other professional qualification | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC018Q13DB,TC018,,,,I teach it to the [national modal grade for 15-year-olds] in the current school year,,"<Combined class of subjects such as Science, Technology, Engineering and Maths >",I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I teach it to the <national modal grade for 15-year-olds> in the current school year | Not selected | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q01NA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,Qualification programme (e.g. a <degree programme>),是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q02NA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,Participation in a network of teachers formed specifically for the professional development of teachers,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q03NA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,Individual or collaborative research on a topic of interest to you professionally,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q04NA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,"Mentoring and/or peer observation and coaching, as part of a formal school arrangement",是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q05NA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,"Reading professional literature (e.g. journals, evidence-based papers, thesis papers)",是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q07JA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,"Course, workshop, or conference on teaching methods",是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q08JA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,"Course, workshop, or conference relevant to your subject-matter field",是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC020Q09JA,TC020,,,,"During the last 12 months, did you participate in any of the following activities?",,Observation visits to other schools,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
