題組名稱,領域,小題數,小題編號,資料變項數
About a book,閱讀,3,"Q01, Q05, Q06",24
Advertising Column,數學,1,Q01,1
Aeroplane Tickets,數學,3,"Q01, Q02, Q03",6
Alfred Nobel,閱讀,7,"Q01, Q03, Q04, Q09, Q10, Q13, Q15",12
Ammonoids,科學,4,"Q01, Q02, Q03, Q04",5
Antibiotics,科學,3,"Q01, Q02, Q03",9
Aquifers,閱讀,2,"Q01, Q03",6
Arches,數學,2,"Q01, Q02",3
Argan tree,閱讀,2,"Q01, Q02",7
Arranging Tables,數學,2,"Q01, Q02",4
Aski Gym Youth Programme,閱讀,2,"Q01, Q03",6
Baby Growth,數學,1,Q01,2
Bacteria in Milk,科學,3,"Q01, Q03, Q05",5
Bat Echolocation,閱讀,4,"Q01, Q02, Q03, Q04",10
Bike Rental,數學,1,Q02,1
Bin Opening Cockatoos,閱讀,4,"Q01, Q02, Q03, Q05",8
Biological Control,閱讀,5,"Q01, Q02, Q03, Q05, Q06",15
Birds and Caterpillars,科學,3,"Q01, Q02, Q03",4
Biscuits,閱讀,3,"Q01, Q02, Q06",4
Book Survey,閱讀,6,"Q02, Q03, Q06, Q07, Q09, Q10",28
Brain-Controlled Robotics,科學,2,"Q01, Q02",5
Bricks,數學,1,Q01,2
Building Blocks,數學,2,"Q01, Q02",8
Building a Legend,閱讀,5,"Q01, Q03, Q04, Q05, Q06",18
Bulletin Board,閱讀,5,"Q01, Q02, Q05, Q08, Q09",14
Buying a Wardrobe,數學,3,"Q01, Q02, Q03",9
Calculation Program,數學,3,"Q01, Q04, Q05",6
Canadian Climate Change,閱讀,3,"Q01, Q02, Q03",11
Car Speed,數學,1,Q01,1
Car Tyres,科學,1,Q03,4
Car and Bicycle Ownership,數學,3,"Q01, Q02, Q03",9
Carbon Monoxide,閱讀,3,"Q01, Q02, Q03",5
Carbon Tax,數學,1,Q02,1
Cash Withdrawal,數學,2,"Q01, Q02",6
Chair Lift,數學,2,"Q01, Q02",4
Chance of Rain,數學,3,"Q01, Q02, Q03",5
Children's Futures,閱讀,4,"Q02, Q06, Q09, Q10",4
Chocolate and Health,閱讀,4,"Q02, Q03, Q04, Q05",13
City and its environment,科學,3,"Q01, Q02, Q03",4
Clean Drinking Water,科學,2,"Q01, Q04",4
Cliff Palace,閱讀,6,"Q04, Q05, Q06, Q07, Q09, Q10",8
Company Logo,數學,3,"Q01, Q02, Q03",9
Computer Game,數學,1,Q01,4
Concrete Path,數學,1,Q01,1
Crab Traps,閱讀,2,"Q02, Q03",7
Crazy Ants,數學,1,Q02,2
Development and Disaster,科學,3,"Q02, Q03, Q04",3
Dinosaur Tracks,閱讀,2,"Q02, Q05",3
Dissolving Crystals,閱讀,3,"Q01, Q02, Q06",6
Diving,數學,2,"Q01, Q02",3
Drugged Spiders,閱讀,4,"Q01, Q02, Q03, Q05",6
Dust Mites,閱讀,4,"Q01, Q02, Q05, Q08",8
Earth Movement,閱讀,3,"Q01, Q02, Q03",5
Efficacy of facemasks,科學,3,"Q01, Q02, Q03",10
