cycle,indicator,country,country_zh,value,rank,n,pct_rank
2006,career_health,Colombia,哥倫比亞,21.06002,1,52,0.0
2006,career_health,United States,美國,19.32222,2,52,2.0
2006,career_health,Jordan,約旦,19.06596,3,52,3.9
2006,career_health,Brazil,巴西,18.23006,4,52,5.9
2006,career_health,Tunisia,突尼西亞,17.45851,5,52,7.8
2006,career_health,Chile,智利,16.76234,6,52,9.8
2006,career_health,Canada,加拿大,15.69334,7,52,11.8
2006,career_health,Portugal,葡萄牙,15.55704,8,52,13.7
2006,career_health,Thailand,泰國,14.16852,9,52,15.7
2006,career_health,Uruguay,烏拉圭,13.76174,10,52,17.6
2006,career_health,Indonesia,印尼,13.23708,11,52,19.6
2006,career_health,Bulgaria,保加利亞,12.96227,12,52,21.6
2006,career_health,Mexico,墨西哥,11.92669,13,52,23.5
2006,career_health,Ireland,愛爾蘭,11.87615,14,52,25.5
2006,career_health,Iceland,冰島,11.27332,15,52,27.5
2006,career_health,New Zealand,紐西蘭,11.10498,16,52,29.4
2006,career_health,Argentina,阿根廷,11.00669,17,52,31.4
2006,career_health,Italy,義大利,10.04442,18,52,33.3
2006,career_health,Belgium,比利時,10.02399,19,52,35.3
2006,career_health,Spain,西班牙,9.99468,20,52,37.3
2006,career_health,Hong Kong (China),香港,9.72955,21,52,39.2
2006,career_health,Slovenia,斯洛維尼亞,9.62412,22,52,41.2
2006,career_health,Israel,以色列,9.44825,23,52,43.1
2006,career_health,Australia,澳洲,9.35049,24,52,45.1
2006,career_health,United Kingdom,英國,9.07628,25,52,47.1
2006,career_health,Türkiye,土耳其,8.77746,26,52,49.0
2006,career_health,Norway,挪威,8.51347,27,52,51.0
2006,career_health,Poland,波蘭,8.20604,28,52,52.9
2006,career_health,Luxembourg,盧森堡,8.12036,29,52,54.9
2006,career_health,Macao (China),澳門,7.93979,30,52,56.9
2006,career_health,Japan,日本,7.82186,31,52,58.8
2006,career_health,Netherlands,荷蘭,7.56657,32,52,60.8
2006,career_health,Chinese Taipei,臺灣,7.55292,33,52,62.7
2006,career_health,Denmark,丹麥,7.25017,34,52,64.7
2006,career_health,France,法國,6.99183,35,52,66.7
2006,career_health,Sweden,瑞典,6.74425,36,52,68.6
2006,career_health,Russia,俄羅斯,6.69448,37,52,70.6
2006,career_health,Romania,羅馬尼亞,6.64051,38,52,72.5
2006,career_health,Korea,韓國,6.62725,39,52,74.5
2006,career_health,Greece,希臘,6.29904,40,52,76.5
2006,career_health,Finland,芬蘭,6.1553,41,52,78.4
2006,career_health,Lithuania,立陶宛,5.27428,42,52,80.4
2006,career_health,Croatia,克羅埃西亞,4.78953,43,52,82.4
2006,career_health,Hungary,匈牙利,4.45745,44,52,84.3
2006,career_health,Slovak Republic,斯洛伐克,4.44331,45,52,86.3
2006,career_health,Switzerland,瑞士,4.43596,46,52,88.2
2006,career_health,Austria,奧地利,4.3528,47,52,90.2
2006,career_health,Estonia,愛沙尼亞,4.22078,48,52,92.2
2006,career_health,Montenegro,蒙特內哥羅,4.18039,49,52,94.1
2006,career_health,Latvia,拉脫維亞,3.94882,50,52,96.1
2006,career_health,Germany,德國,3.71704,51,52,98.0
2006,career_health,Czechia,捷克,3.15351,52,52,100.0
2006,career_ict,Chinese Taipei,臺灣,6.88256,1,52,0.0
2006,career_ict,Poland,波蘭,6.29776,2,52,2.0
2006,career_ict,Bulgaria,保加利亞,5.96762,3,52,3.9
2006,career_ict,Russia,俄羅斯,5.31318,4,52,5.9
2006,career_ict,Slovak Republic,斯洛伐克,5.04475,5,52,7.8
2006,career_ict,Colombia,哥倫比亞,4.45384,6,52,9.8
2006,career_ict,Romania,羅馬尼亞,4.30715,7,52,11.8
2006,career_ict,Estonia,愛沙尼亞,4.28307,8,52,13.7
2006,career_ict,Lithuania,立陶宛,4.14274,9,52,15.7
2006,career_ict,Hungary,匈牙利,3.81757,10,52,17.6
2006,career_ict,Czechia,捷克,3.7136,11,52,19.6
2006,career_ict,Portugal,葡萄牙,3.5935,12,52,21.6
2006,career_ict,Mexico,墨西哥,3.52008,13,52,23.5
2006,career_ict,Slovenia,斯洛維尼亞,3.51077,14,52,25.5
2006,career_ict,Latvia,拉脫維亞,3.33246,15,52,27.5
2006,career_ict,Israel,以色列,3.30686,16,52,29.4
2006,career_ict,Spain,西班牙,3.30485,17,52,31.4
2006,career_ict,Belgium,比利時,3.28589,18,52,33.3
2006,career_ict,Tunisia,突尼西亞,2.70681,19,52,35.3
2006,career_ict,Switzerland,瑞士,2.69049,20,52,37.3
2006,career_ict,Canada,加拿大,2.57903,21,52,39.2
2006,career_ict,Jordan,約旦,2.39476,22,52,41.2
2006,career_ict,Korea,韓國,2.31888,23,52,43.1
2006,career_ict,Luxembourg,盧森堡,2.19658,24,52,45.1
2006,career_ict,Greece,希臘,2.19656,25,52,47.1
2006,career_ict,Australia,澳洲,2.15382,26,52,49.0
2006,career_ict,Hong Kong (China),香港,2.14346,27,52,51.0
2006,career_ict,Uruguay,烏拉圭,2.0586,28,52,52.9
2006,career_ict,Argentina,阿根廷,1.95446,29,52,54.9
2006,career_ict,Thailand,泰國,1.92817,30,52,56.9
2006,career_ict,Macao (China),澳門,1.91975,31,52,58.8
